speakername ,party
เทอดพงษ์ ไชยนันทน์,พรรคประชาธิปัตย์
สามารถ ราชพลสิทธิ์,พรรคประชาธิปัตย์
พลเอกพิชาญเมธ ม่วงมณี,พรรคประชาธิปัตย์
สุรสิทธิ์ ตรีทอง,พรรคประชาธิปัตย์
ไพฑูรย์ แก้วทอง,พรรคประชาธิปัตย์
มาลินี สุขเวชชวรกิจ,พรรคประชาธิปัตย์
พุฒิพงศ์ สงวนวงศ์ชัย,พรรคประชาธิปัตย์
สัญชัย อินทรสูตร,พรรคประชาธิปัตย์
สุทัศน์ เงินหมื่น,พรรคประชาธิปัตย์
รัชฎาภรณ์ แก้วสนิท,พรรคประชาธิปัตย์
วิฑูรย์ นามบุตร,พรรคประชาธิปัตย์
ดนัย นพสุวรรณวงศ์,พรรคประชาธิปัตย์
ไกรศักดิ์ ชุณหะวัณ,พรรคประชาธิปัตย์
สมเกียรติ พงษ์ไพบูลย์,พรรคประชาธิปัตย์
พันเอกวินัย สมพงษ์,พรรคประชาธิปัตย์
ภุชงค์ รุ่งโรจน์,พรรคประชาธิปัตย์
อภิสิทธิ์ เวชชาชีวะ,พรรคประชาธิปัตย์
เจริญ คันธวงศ์,พรรคประชาธิปัตย์
หม่อมราชวงศ์สุขุมพันธุ์ บริพัตร,พรรคประชาธิปัตย์
ผุสดี ตามไท,พรรคประชาธิปัตย์
ประกอบ จิรกิติ,พรรคประชาธิปัตย์
บุรณัชย์ สมุทรักษ์,พรรคประชาธิปัตย์
อานิก อัมระนันทน์,พรรคประชาธิปัตย์
พลตรีมนูญกฤต รูปขจร,พรรคประชาธิปัตย์
นิพนธ์ วิสิษฐยุทธศาสตร์,พรรคประชาธิปัตย์
สุวโรช พะลัง,พรรคประชาธิปัตย์
อรรถพร พลบุตร,พรรคประชาธิปัตย์
ปัญญวัฒน์ บุญมี,พรรคประชาธิปัตย์
บรรพต ต้นธีรวงศ์,พรรคประชาธิปัตย์
ชวน หลีกภัย,พรรคประชาธิปัตย์
บัญญัติ บรรทัดฐาน,พรรคประชาธิปัตย์
ไตรรงค์ สุวรรณคีรี,พรรคประชาธิปัตย์
จุรินทร์ ลักษณวิศิษฏ์,พรรคประชาธิปัตย์
ชำนิ ศักดิเศรษฐ์,พรรคประชาธิปัตย์
นิพนธ์ บุญญามณี,พรรคประชาธิปัตย์
ผู้ช่วยศาสตราจารย์พีรยศ ราฮิมมูลา,พรรคประชาธิปัตย์
เฉลิมลักษณ์ เก็บทรัพย์,พรรคประชาธิปัตย์
ถาวร ตรีรัตน์ณรงค์,พรรคเพื่อไทย
สุรสิทธิ์ วงศ์วิทยานันท์,พรรคเพื่อไทย
นิคม เชาว์กิตติโสภณ,พรรคเพื่อไทย
สมบูรณ์ วันไชยธนวงศ์,พรรคเพื่อไทย
สันติ พร้อมพัฒน์,พรรคเพื่อไทย
สุนัย จุลพงศธร,พรรคเพื่อไทย
กฤษณา สีหลักษณ์,พรรคเพื่อไทย
สุชน ชามพูนท,พรรคเพื่อไทย
สุรชัย เบ้าจรรยา,พรรคเพื่อไทย
ชวลิต วิชยสุทธิ์,พรรคเพื่อไทย
ธนเทพ ทิมสุวรรณ,พรรคเพื่อไทย
กิตติศักดิ์ หัตถสงเคราะห์,พรรคเพื่อไทย
วีระ รักความสุข,พรรคเพื่อไทย
ชัยวัฒน์ กุลศักดิ์วิมล,พรรคเพื่อไทย
อดิศักดิ์ โภคกุลกานนท์,พรรคเพื่อไทย
พลตำรวจเอกวิรุฬห์ พื้นแสน,พรรคเพื่อไทย
พฤฒิชัย วิริยะโรจน์,พรรคเพื่อไทย
ประเกียรติ นาสิมมา,พรรคเพื่อไทย
วิรุฬ เตชะไพบูลย์,พรรคเพื่อไทย
สมพล เกยุราพันธุ์,พรรคเพื่อไทย
อัสนี เชิดชัย,พรรคเพื่อไทย
ร้อยตำรวจเอกเฉลิม อยู่บำรุง,พรรคเพื่อไทย
มิ่งขวัญ แสงสุวรรณ,พรรคเพื่อไทย
จตุพร พรหมพันธุ์,พรรคเพื่อไทย
มานิตย์ จิตต์จันทร์กลับ,พรรคเพื่อไทย
พลตรีศรชัย มนตริวัต,พรรคเพื่อไทย
ร้อยตำรวจโทเชาวริน ลัทธศักดิ์ศิริ,พรรคเพื่อไทย
เรวัต สิรินุกุล,พรรคเพื่อไทย
อัศวิน วิภูศิริ,พรรคชาติไทยพัฒนา
อารีเพ็ญ อุตรสินธุ์,พรรคมาตุภูมิ
เสนาะ เทียนทอง,พรรคประชาราช
พลเอกเชษฐา ฐานะจาโร,พรรครวมชาติพัฒนา 
วิรัช รัตนเศรษฐ,พรรครวมชาติพัฒนา 
เทวฤทธิ์ นิกรเทศ,พรรคกิจสังคม
ภูมิพัฒน์ พชรทรัพย์,พรรคภูมิใจไทย
ชัย ชิดชอบ,พรรคภูมิใจไทย
เพิ่มพูน ทองศรี,พรรคภูมิใจไทย
สุรเดช ยะสวัสดิ์,พรรคเพื่อแผ่นดิน 
สมเกียรติ ศรลัมพ์,พรรคเพื่อแผ่นดิน 
อรรถพล ชัยนันท์สมิตย์,พรรคเพื่อแผ่นดิน 
พลตำรวจเอกประชา พรหมนอก,พรรคเพื่อแผ่นดิน 
กว้าง รอบคอบ,พรรคเพื่อแผ่นดิน 
วัลลภ ไทยเหนือ,พรรคเพื่อแผ่นดิน 
ปุระพัฒน์ วิเศษจินดาวัฒนา,พรรคเพื่อแผ่นดิน 
หม่อมราชวงศ์กิติวัฒนา ไชยันต์,พรรคเพื่อแผ่นดิน 
ถิรชัย วุฒิธรรม,พรรคเพื่อแผ่นดิน 
พฤฒิชัย ดำรงรัตน์,พรรคเพื่อแผ่นดิน 
มานพ ปัตนวงศ์,พรรคเพื่อแผ่นดิน 
หม่อมหลวงอภิมงคล โสณกุล,พรรคประชาธิปัตย์
อรอนงค์ กาญจนชูศักดิ์,พรรคประชาธิปัตย์
เจิมมาศ จึงเลิศศิริ,พรรคประชาธิปัตย์
กรณ์ จาติกวณิช,พรรคประชาธิปัตย์
สมเกียรติ ฉันทวานิช,พรรคประชาธิปัตย์
อภิรักษ์ โกษะโยธิน,พรรคประชาธิปัตย์
อนุชา บูรพชัยศรี,พรรคประชาธิปัตย์
พีระพันธุ์ สาลีรัฐวิภาค,พรรคประชาธิปัตย์
ธนา ชีรวินิจ,พรรคประชาธิปัตย์
สรรเสริญ สมะลาภา,พรรคประชาธิปัตย์
บุญยอด สุขถิ่นไทย,พรรคประชาธิปัตย์
อรรถวิชช์ สุวรรณภักดี,พรรคประชาธิปัตย์
สกลธี ภัททิยกุล,พรรคประชาธิปัตย์
อนุสรณ์ ปั้นทอง,พรรคเพื่อไทย
นาวาอากาศเอกอนุดิษฐ์ นาครทรรพ,พรรคเพื่อไทย
การุณ โหสกุล,พรรคเพื่อไทย
สมัย เจริญช่าง,พรรคประชาธิปัตย์
ทิวา เงินยวง,พรรคประชาธิปัตย์
พนิช วิกิตเศรษฐ์,พรรคประชาธิปัตย์
ไพโรจน์ อิสรเสรีพงษ์,พรรคเพื่อไทย
ดนุพร ปุณณกันต์,พรรคเพื่อไทย
วิชาญ มีนชัยนันท์,พรรคเพื่อไทย
นาถยา เบ็ญจศิริวรรณ,พรรคประชาธิปัตย์
คุณหญิงกัลยา โสภณพนิช,พรรคประชาธิปัตย์
สามารถ มะลูลีม,พรรคประชาธิปัตย์
สุทธิ ปัญญาสกุลวงศ์,พรรคประชาธิปัตย์
นันทพร วีรกุลสุนทร,พรรคประชาธิปัตย์
สุรันต์ จันทร์พิทักษ์,พรรคประชาธิปัตย์
วิลาศ จันทร์พิทักษ์,พรรคประชาธิปัตย์
ถวิล ไพรสณฑ์,พรรคประชาธิปัตย์
สากล ม่วงศิริ,พรรคประชาธิปัตย์
สุวัฒน์ วรรณศิริกุล,พรรคพลังประชาชน
ณัฏฐพล ทีปสุวรรณ,พรรคประชาธิปัตย์
อรอนงค์ คล้ายนก,พรรคประชาธิปัตย์
โกวิทย์ ธารณา,พรรคประชาธิปัตย์
สุธา ชันแสง,พรรคพลังประชาชน
วัชระ เพชรทอง,พรรคประชาธิปัตย์
องอาจ คล้ามไพบูลย์,พรรคประชาธิปัตย์
ชนินทร์ รุ่งแสง,พรรคประชาธิปัตย์
รัชดา ธนาดิเรก,พรรคประชาธิปัตย์
ปรีชา มุสิกุล,พรรคประชาธิปัตย์
สุขวิชชาญ มุสิกุล,พรรคประชาธิปัตย์
สำราญ ศรีแปงวงค์,พรรคประชาธิปัตย์
ปริญญา ฤกษ์หร่าย,พรรคเพื่อไทย
อนันต์ ผลอำนวย,พรรคเพื่อไทย
นันทนา สงฆ์ประชา,พรรคชาติไทย
พรทิวา นาคาศัย,พรรคภูมิใจไทย
มณเฑียร สงฆ์ประชา,พรรคชาติไทย
ชัยวัฒน์ ทรัพย์รวงทอง,พรรคเพื่อไทย
ชาญชัย อิสระเสนารักษ์,พรรคประชาธิปัตย์
วุฒิชัย กิตติธเนศวร,พรรคเพื่อไทย
สมพัฒน์ แก้วพิจิตร,พรรคชาติไทย
มารุต บุญมี,พรรคประชาธิปัตย์
อนุชา สะสมทรัพย์,พรรคเพื่อไทย
รัฐกร เจนกิจณรงค์,พรรคเพื่อไทย
ก่อเกียรติ สิริยะเสถียร,พรรคเพื่อไทย
เผดิมชัย สะสมทรัพย์,พรรคเพื่อไทย
สมควร โอบอ้อม,พรรคประชาธิปัตย์
สงกรานต์ จิตสุทธิภากร,พรรคประชาธิปัตย์
สมชัย เจริญชัยฤทธิ์,พรรคประชาราช
นิโรธ สุนทรเลขา,พรรคชาติไทยพัฒนา
สัญชัย วงษ์สุนทร,พรรคเพื่อไทย
พีระเดช ศิริวันสาณฑ์,พรรคชาติไทยพัฒนา
พันตำรวจโทนุกูล แสงศิริ,พรรคภูมิใจไทย
อุดมเดช รัตนเสถียร,พรรคเพื่อไทย
นิทัศน์ ศรีนนท์,พรรคเพื่อไทย
มานะศักดิ์ จันทร์ประสงค์,พรรคภูมิใจไทย
สมบัติ สิทธิกรวงศ์,พรรคประชาธิปัตย์
ณรงค์ จันทนดิษฐ,พรรคประชาธิปัตย์
ทศพล เพ็งส้ม,พรรคประชาธิปัตย์
พันเอกอภิวันท์ วิริยะชัย,พรรคเพื่อไทย
เอกพจน์ ปานแย้ม,พรรคชาติไทย
ชนากานต์ ยืนยง,พรรคประชาราช
สุรพงษ์ อึ้งอัมพรวิไล,พรรคเพื่อไทย
สุทิน นพขำ,พรรคเพื่อไทย
พรพิมล ธรรมสาร,พรรคเพื่อไทย
ว่าที่ร้อยตรีสุเมธ ฤทธาคนี,พรรคเพื่อไทย
ชูชาติ หาญสวัสดิ์,พรรคเพื่อไทย
สุรเชษฐ์ ชัยโกศล,พรรคเพื่อไทย
พ้อง ชีวานันท์,พรรคเพื่อไทย
เกื้อกูล ด่านชัยวิจิตร,พรรคชาติไทยพัฒนา
สุรศักดิ์ พันธ์เจริญวรกุล,พรรคเพื่อไทย
วิทยา บุรณศิริ,พรรคเพื่อไทย
นราพัฒน์ แก้วทอง,พรรคประชาธิปัตย์
วินัย ภัทรประสิทธิ์,พรรครวมชาติพัฒนา
ศิริวัฒน์ ขจรประศาสน์,พรรคชาติไทยพัฒนา
พลตรีสนั่น ขจรประศาสน์,พรรคชาติไทยพัฒนา
วรงค์ เดชกิจวิกรม,พรรคประชาธิปัตย์
นิยม ช่างพินิจ,พรรคเพื่อไทย
มนต์ชัย วิวัฒน์ธนาฒย์,พรรคกิจสังคม
นคร มาฉิม,พรรคประชาธิปัตย์
จุติ ไกรฤกษ์,พรรคประชาธิปัตย์
จักรัตน์ พั้วช่วย,พรรคเพื่อไทย
วิจิตร พรพฤฒิพันธุ์,พรรคชาติไทยพัฒนา
สุทัศน์ จันทร์แสงศรี,พรรคประชาธิปัตย์
ณรงค์กร ชวาลสันตติ,พรรคเพื่อไทย
เอี่ยม ทองใจสด,พรรคเพื่อไทย
วันเพ็ญ พร้อมพัฒน์,พรรคเพื่อไทย
สุรศักดิ์ อนรรฆพันธ์,พรรคเพื่อไทย
กมล จิระพันธุ์วาณิช,พรรคชาติไทย
มัลลิกา จิระพันธุ์วาณิช,พรรคชาติไทยพัฒนา
ผ่องศรี ธาราภูมิ,พรรคประชาธิปัตย์
สุชาติ ลายน้ำเงิน,พรรคเพื่อไทย
อำนวย คลังผา,พรรคเพื่อไทย
นิยม วรปัญญา,พรรคเพื่อไทย
อนุสรา ยังตรง,พรรคเพื่อไทย
ประเสริฐ ชัยกิจเด่นนภาลัย,พรรคเพื่อไทย
สงคราม กิจเลิศไพโรจน์,พรรคพลังประชาชน
สรชา วีรชาติวัฒนา,พรรคประชาธิปัตย์
อรุณลักษณ์ กิจเลิศไพโรจน์,พรรคเพื่อไทย
นที สุทินเผือก,พรรคภูมิใจไทย
จิรพันธ์ ลิ้มสกุลศิริรัตน์,พรรคภูมิใจไทย
ประชา ประสพดี,พรรคเพื่อไทย
นฤมล ธารดำรงค์,พรรคเพื่อไทย
รังสิมา รอดรัศมี,พรรคประชาธิปัตย์
ครรชิต ทับสุวรรณ,พรรคประชาธิปัตย์
นาวาตรีสุธรรม ระหงษ์,พรรคประชาธิปัตย์
มณฑล ไกรวัตนุสสรณ์,พรรคเพื่อไทย
กัลยา รุ่งวิจิตรชัย,พรรคประชาธิปัตย์
ร้อยตรีปรพล อดิเรกสาร,ไม่สังกัดพรรค
วีระพล อดิเรกสาร,พรรคพลังประชาชน
องอาจ วงษ์ประยูร,พรรคประชาธิปัตย์
วัชรพงศ์ คูวิจิตรสุวรรณ,พรรคประชาธิปัตย์
ชัยวุฒิ ธนาคมานุสรณ์,พรรคชาติไทย
โชติวุฒิ ธนาคมานุสรณ์,พรรคประชาธิปัตย์
สัมพันธ์ ตั้งเบญจผล,พรรคประชาธิปัตย์
วิรัตน์ วิริยะพงษ์,พรรคประชาธิปัตย์
สมเจตน์ ลิมปะพันธุ์,พรรคกิจสังคม
อารยะ ชุมดวง,พรรคชาติไทยพัฒนา
บรรหาร ศิลปอาชา,พรรคชาติไทย
นิติวัฒน์ จันทร์สว่าง,พรรคชาติไทยพัฒนา
ณัฐวุฒิ ประเสริฐสุวรรณ,พรรคชาติไทย
ชาญชัย ประเสริฐสุวรรณ,พรรคชาติไทยพัฒนา
วราวุธ ศิลปอาชา,พรรคชาติไทย
นพดล มาตรศรี,พรรคชาติไทยพัฒนา
เสมอกัน เที่ยงธรรม,พรรคชาติไทย
เจรจา เที่ยงธรรม,พรรคชาติไทยพัฒนา
ยุทธนา โพธสุธน,พรรคชาติไทย
พัชรี โพธสุธน,พรรคชาติไทยพัฒนา
สมศักดิ์ ปริศนานันทกุล,พรรคชาติไทย
ภคิน ปริศนานันทกุล,พรรคชาติไทยพัฒนา
ภราดร ปริศนานันทกุล,พรรคชาติไทยพัฒนา
ชาดา ไทยเศรษฐ์,พรรคชาติไทยพัฒนา
นพดล พลเสน,พรรคชาติไทย
อดุลย์ เหลืองบริบูรณ์,พรรคชาติไทยพัฒนา
สามารถ แก้วมีชัย,พรรคเพื่อไทย
สฤษฏ์ อึ้งอภินันท์,พรรคเพื่อไทย
สุรสิทธิ์ เจียมวิจักษณ์,พรรคเพื่อไทย
รังสรรค์ วันไชยธนวงศ์,พรรคเพื่อไทย
วิสาระดี เตชะธีราวัฒน์,พรรคเพื่อไทย
พิเชษฐ์ เชื้อเมืองพาน,พรรคเพื่อไทย
ละออง ติยะไพรัช,พรรคเพื่อไทย
อิทธิเดช แก้วหลวง,พรรคเพื่อไทย
ชินณิชา วงศ์สวัสดิ์,พรรคเพื่อไทย
สุรพงษ์ โตวิจักษณ์ชัยกุล,พรรคเพื่อไทย
กฤษดาภรณ์ เสียมภักดี,พรรคเพื่อไทย
บุญทรง เตริยาภิรมย์,พรรคเพื่อไทย
วิทยา ทรงคำ,พรรคเพื่อไทย
นพคุณ รัฐผไท,พรรคเพื่อไทย
จุลพันธ์ อมรวิวัฒน์,พรรคเพื่อไทย
ไกร ดาบธรรม,พรรครวมชาติพัฒนา
ประสิทธิ์ วุฒินันชัย,พรรคเพื่อไทย
นรพล ตันติมนตรี,พรรคเพื่อแผ่นดิน
สุรพล เกียรติไชยากร,พรรคเพื่อไทย
นายแพทย์ชลน่าน ศรีแก้ว,พรรคเพื่อไทย
สิรินทร รามสูต,พรรคเพื่อไทย
วัลลภ สุปริยศิลป์,พรรคเพื่อไทย
วิสุทธิ์ ไชยณรุณ,พรรคเพื่อไทย
อรุณี ชำนาญยา,พรรคเพื่อไทย
ไพโรจน์ ตันบรรจง,พรรคเพื่อไทย
วรวัจน์ เอื้ออภิญญกุล,พรรคเพื่อไทย
นิยม วิวรรธนดิฐกุล,พรรคเพื่อไทย
ปานหทัย เสรีรักษ์,พรรคเพื่อไทย
สมบัติ ยะสินธุ์,พรรคประชาธิปัตย์
อดุลย์ วันไชยธนวงศ์,พรรคเพื่อไทย
กิตติกร โล่ห์สุนทร,พรรคพลังประชาชน
สมโภช สายเทพ,พรรคเพื่อไทย
ธนาธร โล่ห์สุนทร,พรรคเพื่อไทย
วาสิต พยัคฆบุตร,พรรคเพื่อไทย
อิทธิรัตน์ จันทรสุรินทร์,พรรคเพื่อไทย
